Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","SMD-0805",23.8760,3.0480,-90.0000,bottom
"C2","100nF","SMD-0805",23.8760,37.5920,90.0000,bottom
"C3","100nF","SMD-0805",26.4160,3.0480,-90.0000,bottom
"C4","100nF","SMD-0805",26.4160,37.5920,90.0000,bottom
"R1","300","SMD-0805",22.8600,6.0960,0.0000,bottom
"R2","300","SMD-0805",22.8600,34.5440,0.0000,bottom
"R3","300","SMD-0805",27.4320,6.0960,180.0000,bottom
"R4","300","SMD-0805",27.4320,34.5440,180.0000,bottom
"R5","0","SMD-0805",10.5156,24.6888,180.0000,bottom
"R6","0","SMD-0805",10.5156,27.1272,180.0000,bottom
"R7","0","SMD-0805",10.4648,13.5128,180.0000,bottom
"R8","0","SMD-0805",10.4648,15.9512,180.0000,bottom
"R9","-","SMD-0805",14.3764,25.9080,90.0000,bottom
"R10","-","SMD-0805",14.3256,14.7320,90.0000,bottom
"R11","0","SMD-0805",17.9705,24.6888,180.0000,bottom
"R12","0","SMD-0805",17.9705,27.1272,180.0000,bottom
"R13","0","SMD-0805",17.9197,13.4620,180.0000,bottom
"R14","0","SMD-0805",17.9197,16.0020,180.0000,bottom
